Ticker,Market,Close,PER,ROIC,ROE,6M_Return,Volatility,Sector,Score
MSFT,US,415.26,28.5,31.2,38.7,0.28,0.18,Technology,68.94
KO,US,63.42,25.1,31.2,42.8,0.11,0.16,Consumer,68.86
V,US,267.54,32.8,29.7,38.9,0.22,0.21,Finance,64.78
AAPL,US,192.3,22.1,27.3,35.2,0.23,0.15,Technology,63.91
207940.KQ,KR,18950.0,28.7,25.8,31.2,0.67,0.35,Healthcare,63.77
PG,US,166.54,26.3,24.7,32.1,0.15,0.14,Consumer,56.9
068270.KQ,KR,158000.0,14.5,22.1,26.7,0.38,0.23,Technology,53.15
HD,US,347.83,22.9,25.6,31.8,0.19,0.22,Consumer,52.99
UNH,US,497.26,24.8,21.3,26.7,0.28,0.18,Healthcare,52.21
IBM,US,182.91,22.8,18.7,31.2,0.22,0.24,Technology,52.11
